Book,Author,Journal,Year,Publisher,Link
Participação Feminina na Alta Gestão e a Sustentabilidade Empresarial no Brasil.,R Bezerra de Amorim… ,… e Sustentabilidade,2021,researchgate.net,https://www.researchgate.net/profile/Caritsa-Moreira/publication/357605937_Organizacoes_e_Sustentabilidade_Amazon_Organizations_and_Sustainability_v/links/61d61155d4500608168fdd34/Organizacoes-e-Sustentabilidade-Amazon-Organizations-and-Sustainability-v.pdf
SUSTENTABILIDADE NA GESTÃO DE PESSOAS: PRÁTICAS E CONTRIBUIÇÕES ÀS ORGANIZAÇÕES.,K PEREIRA ALVARES… ,Revista Gestão …,2016,search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=19836635&AN=118509040&h=kEKRtS7Wq72CAoMfkbM9pd5OZc2ExKqI0cXvRQlxNV7uUI7UJe8QsFDapGd%2BugECDqdEctJwFshpK29SDOjMWA%3D%3D&crl=c
Os desafios da sustentabilidade na hotelaria: o caso do concelho de Portimão,IIM Brites ,2022,2022,sapientia.ualg.pt,https://sapientia.ualg.pt/handle/10400.1/18952
"Educação, gestão e sustentabilidade",JGS Goulart ,2018,2018,repositorio.ufsm.br,https://repositorio.ufsm.br/handle/1/14708
 Sustentabilidade empresarial: conceito e indicadores,"GC de Araújo, MP Bueno, AA de Sousa… ",Anais do,2006,scholar.archive.org,https://scholar.archive.org/work/dnlw3ogf5nhbdp3mi3bfwb7phy/access/wayback/http://www.convibra.com.br/2006/artigos/61_pdf.pdf
 Gestão de pessoas e sustentabilidade: construindo caminhos por meio das práticas de capacitação,"JM de Oliveira, VFB Estivalete, T de Andrade… ",… de Administração da …,2017,redalyc.org,https://www.redalyc.org/journal/2734/273452299008/movil/
 SUSTENTABILIDADE NA CULTURA–DA DIVERSIDADE CULTURAL À SUSTENTAÇÃO FINANCEIRA,CÀSF DA DIVERSIDADE ,****,****,****,http://www.havine.com/wp-content/uploads/2016/09/HVN-20110102.pdf
 GESTÃO DE PESSOAS E SUSTENTABILIDADE,V BAGATINI ,ANAIS DA MOSTRA DE INICIAÇÃO CIENTÍFICA …,2012,ojs.cesuca.edu.br,https://ojs.cesuca.edu.br/index.php/mostrac/article/view/197/234
Sustentabilidade corporativa: Impacto da diversidade organizacional no desempenho financeiro das empresas do índice de sustentabilidade empresarial (ISE),RA Riedel ,2018,2018,repositorio.pucsp.br,https://repositorio.pucsp.br/handle/handle/21816
Participação feminina na alta gestão e a sustentabilidade empresarial: uma análise em empresas listadas na b3,RB Amorim ,2019,2019,repositorio.ufersa.edu.br,https://repositorio.ufersa.edu.br/handle/prefix/4556
 Gestão de resíduos sólidos em São Paulo: desafios da sustentabilidade,"PR Jacobi, GR Besen ",Estudos avançados,2011,SciELO,https://www.scielo.br/j/ea/a/YgnDNBgW633Y8nfLF5pqLxc/?lang=pt
A sustentabilidade socioambiental: diversidade e cooperação,"SMF Gianesella, PR Jacobi ",A sustentabilidade …,2011,pesquisa.bvsalud.org,https://pesquisa.bvsalud.org/portal/resource/pt/cid-64905
 Pesquisa participativa reconectando diversidade: democracia de saberes para a sustentabilidade,"LL Giatti, J Gutberlet, RF Toledo, FNP Santos ",Estudos Avançados,2021,SciELO,https://www.scielo.br/j/ea/a/JHRS8w3VKqXB7K4sfT6qk9B/?format=html&lang=pt
Sustentabilidade e Gestão de Pessoas: evidências do setor bancário brasileiro,N Macini ,2015,2015,teses.usp.br,https://www.teses.usp.br/teses/disponiveis/96/96132/tde-15122015-153550/?gathStatIcon=true
 Gestão ambiental e sustentabilidade,LF Nascimento ,Florianópolis: Departamento de …,2012,old.agracadaquimica.com.br,http://old.agracadaquimica.com.br/quimica/arealegal/outros/205.pdf
 Imposto de renda ecológico: novas perspectivas direito ambiental e gestão estratégica da sustentabilidade,DA Mattos ,2012,2012,repositorio.pucsp.br,https://repositorio.pucsp.br/bitstream/handle/29748/1/DENISE%20ARNIZAUT%20DE%20MATTOS.pdf
A Gestão de Sistemas Humanos: contributo da formação para os processos de sustentabilidade,"A Parreira, MH Pestana… ",Revista Acreditação …,2011,repositorio.iscte,https://repositorio.iscte-iul.pt/handle/10071/8775
A diversidade no uso e ocupação da zona costeira do brasil: A sustentabilidade como necessidade,"FL Abreu, FP Vasconcelos… ",Conexões,Conexões,Ciência,http://conexoes.ifce.edu.br/index.php/conexoes/article/view/1277/0
 025 ADP-Diversidade e Sustentabilidade: Avaliando a Experiência com as Ações Integradas do IPEC/FIOCRUZ Marcelino José Jorge–(Doutor; FIOCRUZ) …,"DL Batista, E Kwasinski ",****,****,****,https://www.academia.edu/download/46311817/Diversidade_e_Sustentabilidade_Avaliando20160607-1006-1msjcc4.pdf
" Agronegócios: gestão, inovação e sustentabilidade","LFS Zuin, TR Queiroz ",2015,2015,books.google.com,https://books.google.com.br/books?hl=pt-BR&lr=&id=cY2wDwAAQBAJ&oi=fnd&pg=PT24&dq=gest%C3%A3o+da+diversidade+e+sustentabilidade&ots=5F2AwClTHK&sig=nAoC13pW5YW6gfET73gQI_tRopE
Edição Temática “Cidades inteligentes: planejamento e gestão da sustentabilidade”,CT Kniess ,Revista de Gestão e Secretariado,2016,revistagesec.org.br,https://revistagesec.org.br/ojs/index.php/secretariado/article/view/598
" POLÍTICAS TERRITORIAIS, GESTÃO PARTICIPATIVA E SUSTENTABILIDADE NO ÂMBITO RURAL","MRF da Silva, NNP dos Santos, MFR Gondim ",****,****,****,https://www.researchgate.net/profile/Norberto-Santos-2/publication/267329754_POLITICAS_TERRITORIAIS_GESTAO_PARTICIPATIVA_E_SUSTENTABILIDADE_NO_AMBITO_RURAL/links/544b51840cf24b5d6c3ec9ec/POLITICAS-TERRITORIAIS-GESTAO-PARTICIPATIVA-E-SUSTENTABILIDADE-NO-AMBITO-RURAL.pdf
 Educação ambiental e gestão participativa de unidades de conservação: elementos para se pensar a sustentabilidade democrática,"CFB Loureiro, CC Cunha ",Ambiente & Sociedade,2008,SciELO,https://www.scielo.br/j/asoc/a/xT99ttVXqTpmsY3XcZvYfMv/
"… do Agir Competente para seu Acontecimento é um artigo que inter-relaciona as premissas do agir organizacional, da sustentabilidade organizacional e da gestão …","RAV à Sustentabilidade, PCS com Catadores ",****,****,****,http://pepsic.bvsalud.org/scielo.php?script=sci_arttext&pid=S1983-82202011000300001
 Integração entre gestão de pessoas e estratégia de sustentabilidade: o caso Natura,"FM Pires, AL Fischer ",Revista de Gestão Social e Ambiental,2014,researchgate.net,https://www.researchgate.net/profile/Fernanda-Pires-5/publication/316310799_INTEGRACAO_ENTRE_GESTAO_DE_PESSOAS_E_ESTRATEGIA_DE_SUSTENTABILIDADE_O_CASO_NATURA/links/5f2062b4a6fdcc9626ba4248/INTEGRACAO-ENTRE-GESTAO-DE-PESSOAS-E-ESTRATEGIA-DE-SUSTENTABILIDADE-O-CASO-NATURA.pdf
Gestão de pessoas: a parceria chave para a sustentabilidade corporativa,MLP Echenique ,****,****,****,https://repositorio.uniceub.br/jspui/handle/235/7987
 Gestão da Sustentabilidade em Fazendas Agropecuárias: O uso de indicadores na Pecuária de Corte,"DMV BEDOYA, WH YANAGUIZAWA… ",… de Sustentabilidade …,2013,sistema.semead.com.br,http://sistema.semead.com.br/16semead/resultado/trabalhosPDF/1015.pdf
" PFNM E SUSTENTABILIDADE:(RE) CONHECENDO A SOCIOBIODIVERSIDADE NA GESTÃO DA APA ALGODOAL-MAIANDEUA, MARACANÃ/PARÁ",MJS MONTEIRO ,****,****,****,https://www.engema.org.br/XVIENGEMA/257.pdf
 Fundamentos de política e gestão ambiental: caminhos para a sustentabilidade,MA Bursztyn ,2018,2018,books.google.com,https://books.google.com.br/books?hl=pt-BR&lr=&id=C9NiDwAAQBAJ&oi=fnd&pg=PT4&dq=gest%C3%A3o+da+diversidade+e+sustentabilidade&ots=NdxkPjGmj7&sig=8chZdO1p8QgU6UKKTcL9C1HI7sc
Organizações controlo e sustentabilidade,"I Domingues, MC Silva ",2012,2012,repositorium.sdum.uminho.pt,https://repositorium.sdum.uminho.pt/handle/1822/75066
