Book,Authors,Jornal,Year,Publisher,Link
A crítica da gestão da diversidade nas organizações,"MA Alves, LG Galeão",Silva,Silva,"Revista de Administração de Empresas, 2004",https://www.scielo.br/j/rae/a/pxZ7ftJN4cHCWhQKH5ZV7nn/abstract/?lang=pt
Gestão da diversidade: um estudo de gênero e raça em grandes empresas brasileiras,"EB do Prado Gonçalves, MMSB Espejo",Enfoque: Reflexão,2016,redalyc.org,https://www.redalyc.org/pdf/3071/307145806007.pdf
As práticas de recursos humanos para a gestão da diversidade: a inclusão de deficientes intelectuais em uma federação pública do Brasil,"N Maccali, PSS Kuabara, ARW Takahashi",RAM. Revista de,2015,SciELO Brasil,https://www.scielo.br/j/ram/a/58kgmyHMQw96QtTVjZJBGQB/?format=html
As barreiras para a ascensão da mulher a posições hierárquicas: um estudo sob a óptica da gestão da diversidade no Brasil,"PA Henderso, MA de Araújo Ferreira",Revista de Administração,2016,redalyc.org,https://www.redalyc.org/journal/2734/273447625009/html/
Gestão da diversidade nas organizações como prática gerencial,AM Neves,Revista Gestão & Sustentabilidade,2020,periodicos.uffs.edu.br,https://periodicos.uffs.edu.br/index.php/RGES/article/view/11374
A gestão da diversidade cultural no contexto educacional brasileiro,"A Akkari, MC Santiago",Revista Educação em Questão,2010,periodicos.ufrn.br,https://periodicos.ufrn.br/educacaoemquestao/article/view/4025
Gestão da diversidade nas organizações: uma breve revisão bibliográfica,"FWC Bezerra, DF Lima, FP de Oliveira",Research,2022,rsdjournal.org,https://rsdjournal.org/index.php/rsd/article/view/33610
Da estratégia individual à ação coletiva: grupos de suporte e gênero no contexto da gestão da diversidade,"J Brunstein, P Jaime",RAE eletrônica,2009,SciELO Brasil,https://www.scielo.br/j/raeel/a/HytdF5RTH9mytfvjQFxkhkc/abstract/?lang=pt
Gestão da diversidade no Brasil: apresentação de um modelo brasileiro,GSM Saji ,2005,2005,bibliotecadigital.fgv.br,https://bibliotecadigital.fgv.br/dspace/handle/10438/5738
A crítica da gestão da diversidade nas organizações,"M Aquino Alves, LG Galeão",Silva,Silva,RAE,https://www.redalyc.org/pdf/1551/Resumenes/Resumo_155117750002_5.pdf
Gestão da diversidade: uma gestão nesseária para estimular a inovação e aumentar a competitividade das empresas de contabilidade e auditoria,"JAS Cardoso, JR Farias Filho, MMS Cardoso",Pensar,2007,atena.org.br,http://atena.org.br/revista/ojs-2.2.3-08/index.php/pensarcontabil/article/view/128
Gestão da diversidade e pessoas com deficiência: percepção dos gestores e empregados sobre os impactos da lei de cotas,VPR Martinez ,2008,2008,teses.usp.br,https://www.teses.usp.br/teses/disponiveis/12/12139/tde-04092008-165226/en.php
"À margem da gestão da diversidade? Travestis, transexuais eo mundo do trabalho","MDR Paniza, MC Moresco",Revista de Administração de Empresas,2022,SciELO Brasil,https://www.scielo.br/j/rae/a/Ym7PXfFgJRm4nKgnNfbZW7P/
Apontamentos iniciais sobre a gestão da diversidade: dilemas e significados,"PSS Kuabara, MI Sachuk",Revista Cesumar,2012,periodicos.unicesumar.edu.br,http://periodicos.unicesumar.edu.br/index.php/revcesumar/article/view/1574
Gestão da diversidade ea intenção de compra do consumidor,"JC Pereira, EMC Lima, MR de Camargo Ortiz",de Administração da,2012,redalyc.org,https://www.redalyc.org/pdf/2737/273723607004.pdf
Competência em informação e gestão da diversidade: uma inter-relação de sucesso,"B de Oliveira Benedito, MA Ribeiro",Revista Brasileira de,2021,rbbd.febab.org.br,https://rbbd.febab.org.br/rbbd/article/view/1612
Reflexões sobre comunicação organizacional na América Latina: ventos da mudança na gestão da diversidade,MA Ferrari,Organicom,2021,revistas.usp.br,https://www.revistas.usp.br/organicom/article/view/188608
GESTÃO DA DIVERSIDADE–UM ESTUDO SOBRE GÊNERO E RAÇA EM EMPRESAS NO BRASIL,"SL Reith, A Rachid",Divers@!,2021,revistas.ufpr.br,https://revistas.ufpr.br/diver/article/view/73706
Perspectivas entre gestão do conhecimento e gestão da diversidade,"B de Oliveira Benedito, MA Ribeiro",Informação &,2022,researchgate.net,https://www.researchgate.net/profile/Luana-Woida-2/publication/360796339_PERSPECTIVAS_ENTRE_GESTAO_DO_CONHECIMENTO_E_GESTAO_DA_DIVERSIDADE_PERSPECTIVES_BETWEEN_KNOWLEDGE_MANAGEMENT_AND_DIVERSITY_MANAGEMENT/links/628bd00e3303d263c471e837/PERSPECTIVAS-ENTRE-GESTAO-DO-CONHECIMENTO-E-GESTAO-DA-DIVERSIDADE-PERSPECTIVES-BETWEEN-KNOWLEDGE-MANAGEMENT-AND-DIVERSITY-MANAGEMENT.pdf
Gestão da diversidade de gênero nas organizações: estudo de casos múltiplos sobre homens e mulheres iguais nas desigualdades,SMT Romero ,2009,2009,books.google.com,https://books.google.com/books?hl=en&lr=&id=cLWOttVgwz0C&oi=fnd&pg=PA17&dq=gest%C3%A3o+da+diversidade&ots=nZ4GanvqGF&sig=94PjGFP07cIbBcUiGa2ALjjIi_o
Teoria Queer e gestão da diversidade: uma aproximação possível,DC Mendes,Gestão & Planejamento,Planejamento,"G&P, 2022",https://revistas.unifacs.br/index.php/rgb/article/view/7225
Gestão da diversidade no cotidiano escolar,"MMA Braz, AI de Souza Prado",Brazilian Journal of,2020,brazilianjournals.com,https://www.brazilianjournals.com/ojs/index.php/BRJD/article/download/15679/12895
Subculturas organizacionais em ambiente académico na perspectiva da gestão da diversidade: o caso da Universidade do Minho,Í Barbosa ,2003,2003,repositorium.sdum.uminho.pt,https://repositorium.sdum.uminho.pt/handle/1822/200
A gestão da diversidade em um ambiente de inovação,TA Freitas ,2019,2019,lume.ufrgs.br,https://www.lume.ufrgs.br/handle/10183/205376
"Gestão universitária, diversidade étnico-racial e políticas afirmativas: o caso da UFMG.",YM Gonzaga ,2017,2017,repositorio.ufmg.br,https://repositorio.ufmg.br/handle/1843/BUOS-AQQMYK
Gestão da diversidade em organizações contemporâneas,ER Ferreira ,2016,2016,ri.unir.br,https://www.ri.unir.br/jspui/handle/123456789/1070
Controle social das migrações e gestão da diversidade. Reflexões para a construção de um novo marco normativo migratório brasileiro,ALC Santos,Novos Estudos Jurídicos,2014,periodicos.univali.br,https://periodicos.univali.br/index.php/nej/article/view/6671
EDITORIAL–GESTÃO DE DIVERSIDADES,LN Trevisan,Revista de Carreiras e Pessoas,2017,revistas.pucsp.br,https://revistas.pucsp.br/ReCaPe/article/download/35456/24279
