Book,Authors,Jornal,Year,Publisher,Link
 Python,W Python ,Python Releases Wind,2021,Citeseer,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1f2ee3831eebfc97bfafd514ca2abb7e2c5c86bb
 Pattern for python,"T De Smedt, W Daelemans ",The Journal of Machine Learning Research,2012,jmlr.org,https://www.jmlr.org/papers/volume13/desmedt12a/desmedt12a.pdf
Pingouin: statistics in Python.,R Vallat ,J. Open Source Softw.,2018,scholar.archive.org,https://scholar.archive.org/work/4ai543lwcfedrikhifxdvm6dfi/access/wayback/https://www.theoj.org/joss-papers/joss.01026/10.21105.joss.01026.pdf
 Python tutorial,"G Van Rossum, FL Drake Jr ",****,1995,academia.edu,https://www.academia.edu/download/62442353/tutorial20200322-66446-ykbseo.pdf
PVLIB python 2015,"WF Holmgren, RW Andrews  ",2015 ieee 42nd  ,2015,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7356005/
 Python reference manual,"G Van Rossum, FL Drake ",****,1995,cs.cmu.edu,http://www.cs.cmu.edu/afs/cs.cmu.edu/project/gwydion-1/OldFiles/OldFiles/python/Doc/ref.ps
 An introduction to Python,"G Van Rossum, FL Drake ",****,2003,atk.fam.free.fr,http://atk.fam.free.fr/fichiers/stage/Python/JF/site/pytut.pdf
 Think python,A Downey ,****,2012,books.google.com,https://books.google.com/books?hl=en&lr=&id=1mZtP9H6OMQC&oi=fnd&pg=PR2&dq=Python&ots=fyBYnbrTOm&sig=4plVu1vv9xTXKE_l5-5ChYLP3m4
 Programming python,M Lutz ,****,2001,books.google.com,https://books.google.com/books?hl=en&lr=&id=c8pV-TzyfBUC&oi=fnd&pg=PR11&dq=Python&ots=n5bAbU_SPV&sig=8-Fn1Z-SPC0rqDNh2LdkoMDi6g0
 ParselTongue: AIPS Talking Python,"M Kettenis, HJ van Langevelde  ",  and systems XV,2006,adsabs.harvard.edu,https://adsabs.harvard.edu/full/record/seri/ASPC./0351/2006ASPC..351..497K.html
 Python,J Fontenrose ,****,1959,degruyter.com,https://www.degruyter.com/document/doi/10.1525/9780520312760/html
 Python machine learning,S Raschka ,****,2015,books.google.com,https://books.google.com/books?hl=en&lr=&id=GOVOCwAAQBAJ&oi=fnd&pg=PP1&dq=Python&ots=NdfwMiXSVI&sig=fcZy3PfSzkVhLa-e567MHl7FRfU
 ACPYPE-Antechamber python parser interface,"AW Sousa da Silva, WF Vranken ",BMC research notes,2012,Springer,https://link.springer.com/article/10.1186/1756-0500-5-367
Python for scientific computing,TE Oliphant ,Computing in science & engineering,2007,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4160250/
 Numerical python,"D Ascher, PF Dubois, K Hinsen, J Hugunin, T Oliphant ",****,2001,cs.mcgill.ca,https://www.cs.mcgill.ca/~hv/articles/Numerical/numpy.pdf
Python for scientists and engineers,"KJ Millman, M Aivazis ",Computing in science & engineering,2011,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5725235/
Matplotlib in python,"N Ari, M Ustazhanov ",2014 11th International Conference on  ,2014,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6997585/
MatLab vs. Python vs. R,"C Ozgur, T Colliau, G Rogers, Z Hughes ",Journal of data Science,2017,airitilibrary.com,https://www.airitilibrary.com/Publication/alDetailedMesh?docid=16838602-201707-201711160005-201711160005-355-371
